별점,리뷰,날짜
5,"지역민이 찾는 다찌집이라 추천받았는데 정말로 외부시설이나 음식이 향토적이었어요~^^
시설이 오래된 노포 분위기이지만 끝을 알 수 없는 다양한 음식의 향연이 경이로웠고 집밥을 먹는 듯 정성스러웠습니다~^^",5년 전
5,통영다찌👍👍👍 꼼장어 수육은 첨 먹어봄…,6년 전
1,"타지에서 오면 덤탱이 씌우는 곳.

1인당 3만원, 총 3명이서 9만원 + 술 3병 시켰는데

회가 전갱이랑 놀래미가 끝이다? ㅎㅎ;;

지역 주민이 옆테이블이었는데 거긴 게가 나오는데 우린 테이블은 안 준다?

분명 주변 테이블 우리보다 술 더 안 시켰는데 자꾸 술 안 시키냐고 쿠사리 준다?

하여튼 관광객들은 관광객들이 주로 가는 곳에 가야 하는 이유가 다 있음.

여기 추천한 야소주반도 갔는데 거긴 재료는 괜찮을지 몰라도 음식 스킬이 뛰어나지 않으니 패스하시는게 ㅎㅎ;;",3년 전
4,"고급진 느낌보다 제대로된 한상을 받고 싶다면...  여기 추천! 단, 음식이 빨리 빨리 나오므로 식성이 좋은사람이 최소 1,2명은 있어야됨.",5년 전
1,"여기 음식 맛있습니다. 그런데, 장염조심하세요. 서울서 주말이라 통영 놀러갔다가 10월 5일 토요일 저녁에 대추나무에서 저녁 먹고 6일 새벽부터 근육통, 설사, 매스꺼움, 배아픔으로 너무 힘들어서 일요일 아침에 겨우 약국 찾아서 갔더니 장염이라고 하더군요. 통영 구경할 몸상태가 아니라서 서울로 올라오면서 식당에 전화했더니 사장님은 “몇십년 동안 장사하면서 이런 전화 처음 받아본다, 손님이 장이 약해서 그런거다, 다른데서 음식 잘못먹어서 그런거다, 전날에 술을 마셔서 그런거다.” 하길래 “우리 일행 2틀 동안 여행하면서 코다리조림, 오리탕, 된장찌개, 소고기국밥 먹었고 전날에 술도 안 마셨다. 장이 약해서 그런거면 모든 음식 먹을 때마다 장염에 걸려야 하는거냐?” 이런 이야기를 주고받는데 전화를 끊어버리시네요. 같이 간 일행도 서울서 통영까지 가서 구경도 제대로 못하고 장염으로 고생한 것도 억울한데 제대로 된 사과도 못 받아서 몇 번 전화했는데 통화하다가 끊어버리고 계속 전화 안받고 몇시간 후 홀에서 서빙하던 분(주인딸)과 겨우 통화했는데 책임없다는 핑계만 대다가 “재료는 당일 3~4시에 받아오기 때문에 문제가 없지만 치료비 영수증 제출하면 보상하겠다.”하셨는데 끝까지 “미안하다. 위생에 신경쓰겠다. 몸은 괜찮냐?”이런 말은 못들었네요. 기분이 너무 나빠서 병원비도 청구하지 않았고 지금까지 통영에 여러번 여행갔지만 이렇게 어이없는 경우는 처음이라 대추나무 식당에 대한 후기 남깁니다. 검색해서 제가 식당 예약했는데 일행에게 많이 미안하네요ㅠ.ㅠ",5년 전
4,코스요리입니다 해산물 + 술 해서 인당 3만원 입니다 해산물 요리가 많아서 좋아하시는 분들은 추천드립니다 근데 양이 많아서 남기게되네요~,6년 전
1,하루전날 오후 5시 15분경 예약하고 다음날 기대감을 갖고 3시간 넘게 차로 이동해서 찾아갔지만 자기들은 당일 예약만 받는다며 하루전날 예약은 받지 않는다고 나가라며 문전박대 당했습니다. 당일 예약만 된다면 사전에 언급을 해줬어야지 몇번이나 내일이라고 강조를 했는데도 그런예약은 받는적 없다며 나가라는 태도에 정말 황당했습니다. 혹시나 가실분들이 있다면 음성 녹음을 해두고 가시기 바랍니다. 장사가 잘되어서 그런지 몰라도 고객을 대하는 태도가 정말 최악입니다.,4년 전
4,통영 전통 다찌집. 음식은 아주 좋으나 분위기 따지는 분(선술집 분위기 좋아하시는 분은 제외) 입구에서 부터 당황할수 있음.,6년 전
5,통영에서는 통영사람들이  지주가는 곳입니다  예약은 필수입니다 다양한 안주를  맛볼수 있습니다,6년 전
5,맛있어요,1년 전
