별점,리뷰,날짜
5,"통영 여행중 검색해서 먹으러 간 곳
가격대 성능비 좋아요.",3년 전
5,"음식이 전반적으로 짜지 않고 너무 맛있게 먹었음
백반에 나오는 생선구이가 예술!",1년 전
5,판타스틱한 멸치회 및 쑥도다리국. 점심 먹으러 갔다가 술 왕창 마심,1년 전
5,너무 비싸다고 쓰신 분도 계시지만 반찬의 내용이나 찬들을 보면 납득이 되는 가격이었습니다. 반찬 하나하나 다 너무 맛있었구요. 9천원짜리 정식도 훌륭했어요. 1만5천원하는 도다리쑥국도 먹어보러 갈 참입니다. 통영 여행 와서 음식이 맛있는데다 양도 많아 살이 많이 쪄서 돌아거게 될 것 같아요.  사진은 아직 밥이랑 누룽지도 나오기 전에 찬부터 먹을 때 찍었답니다. 멸치회 무침이 별미였어요.,5년 전
5,"9천원짜리 한정식에 죽방멸치회무침ㆍ죽방멸치조림까지...
정말 맛있고 가성비 세계제일!!!",6년 전
5,"여기 맛있어여...
도다리쑥국 봄메뉴라던데..
가서 꼭 드세요 여러분",4년 전
4,가시면 압 주차장이 한시간 무료라서 거기 주차하시고 이집에서 멸치쌈밥 드세요~  간만에 밥두공기 먹은것도 오래간만이네요~  그만큼 맛있어요^^,9달 전
4,봄에 먹는 음식. 도다리쑥국 깔끔 합니다.맑은국에 건강푸드 쑥ㅋㅋ,6년 전
5,멸치회 맛있어요.,2주 전
3,모듬싱선구이 시켰는데 걍 양념 뿌리지 말고 주셨음 좋았을걸...너무 짰어요ㅠㅠ,6년 전
1,"통영시민이 가도 이런데..ㅜ
타지역 사람들이 가면 얼마나 실망을 할지..
사진 찍을만 한것도 없네요..
둘이가서 멸치회30.000원 쌈밥정식30,000원..
상추뒤에는 남이 먹든걸 확인도 안하시고 줬는지..양념이 묻어있고...
와~  소고기값하는 멸치네요..",2년 전
4,복국의 국물 간이 적당하고 반찬으로 나온 멸치회무침 맛있음.,6년 전
4,"내 입엔 조금 짠도 간도 전반적으로 강한 편이지만 좋은 재료로 맛있게 만든다. 도다리쑥국 아주 깔끔함. 주인할머니 얘기 듣는 재미도 있다. 기본찬이 훌륭했다(멸치회무침, 열기구이, 봄나물 등)",4년 전
5,통영 여행 마지막날에 들렀습니다. 이박삼일 여정이였으나 통영 음식이라고 생각나는 곳은 이집 뿐이 였습니다. 멸치 쌈밥 과 생선구이를 반씩 시켜 나눠 먹었으며 부족함 없이 배부르게 잘 먹었습니다.,2년 전
4,"백반기행 검색으로 다녀 왔네요 멸치쌈밥1인분 13000원 4인분 시켰는데 양은 푸짐하고 맛은 꽁치 찌개 맛이랑 비슷 하네요 기분 반찬은 깔끔하게 잘 나옵니다 전체적으로 보면 남해 멸치 쌈밥이 더 좋았고 반찬이 조금씩 넘 짭니다
감사합니다",3년 전
3,오래된 노포로 호불호가 갈릴듯~,3년 전
5,"사장님 친절 하시구요
진정한 현지인 맛집이네요
멸치조림도 무침도 처음이라서
사장님이 1인분만 추천하시고
생선구이 2개 시켜라 하셔서
주문 성공할 수 있었습니다

생선구이도 겁나 신선함^^",4년 전
3,욕지도 갔다가 연화도에서 곡차를 한 후 통영여객터미널에 도착하여 한산도행 표를 구입하려니 조금전 마감했다 하여 길건너  서호시장을 배회하다 매운탕이 그리워 들른곳 입니다 알고보니 제법 맛집이라네요 밑반찬도 괞찮고 매운탕도 맛있게 먹고 조금 아쉬움이라면 계속 뜨끈뜨끈했으면 좋았을텐데 하는 아쉬움이 남더군요 뚝배기에 끓여주니 바로는 안식어도 끝에는 차게 식어버린게 입맛을 떨구었지요 대체적으로 먹을만 했는데 가격이 한그릇에 18000원 적은가격은 아니었습니다,6년 전
4,"멸치쌈밥 먹으러 갔으나 주문불가(이유모름)
생선구이3인 정식3인 주문
일단 양이 푸짐하고 생선 종류도 맛났음
특히 정식은 회랑 같이 주는데 푸짐함",2년 전
5,"반찬에서 고수의 향기가 느껴졌다.
씀씀한 듯 무심한 듯 그러나 감칠맛이 났다.
이 집 오래된 맛집이라고 하는데 고수의 느낌이 난다.^^",1년 전
5,맛있습니다 저는 안비리게 잘먹었습니다,3년 전
