statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
정촌면사무소,ME20C133,경상남도 진주시 정촌면 화개리 976,,,24시간 이용가능,35.131473,128.1025175,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:55:28,2025-05-15 14:13:19,2025-05-15 14:38:36,,48,48170,A0,A001,Y,,N,,N,,N,2020,경상남도,0.8988803018777654,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.348320452816648,0.9543462138411298
모다아울렛 진주점별관,HM001795,경상남도 진주시 정촌면 삼일로105번길 15,,,24시간 이용가능,35.130147334,128.0986769,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,7.0,단독,2,2,0.0,1.0,2025-05-15 07:00:25,2025-05-14 16:30:27,2025-05-15 00:43:33,,48,48170,E0,E002,Y,,N,,N,,N,2023,경상남도,0.9176159965866855,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.376423994880028,0.9262426717777497
진주KAL관광호텔,PW011925,경상남도 진주시 정촌면 화개천로 132-14,,,24시간 이용가능,35.1279401,128.1042241,PW,파워큐브,파워큐브,1833-8017,2,7.0,,2,2,0.0,1.0,2025-05-15 11:06:15,2025-05-14 13:57:28,2025-05-14 15:57:48,,48,48170,E0,E003,Y,,Y,숙박 시설 이용자로 제한,N,,N,2020,경상남도,1.3163689467388422,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.9745534201082633,0.32811324654951446
진주남부농협 자재판매장,HM000992,경상남도 진주시 정촌면 정촌로45번길 11,,,24시간 이용가능,35.133678507,128.10197891,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,7.0,단독,0,1,1.0,0.0,2025-01-17 13:30:00,,,,48,48170,G0,G004,Y,,N,,N,,N,2022,경상남도,0.6710982629457762,1,0,0,300,0.0033333333222222224,0.5,0.0,0.0,0.0026666666577777783,0.0,0.0,-1.0066473944186645,-0.5039807277608866
가좌 우수저류시설(진주),PC001215,경상남도 진주시 가좌동 1984-1,,,24시간 이용가능,35.152843216,128.11013533,PC,파킹클라우드,아이파킹,1533-5783,2,7.0,단독,3,3,0.0,1.0,2025-05-15 08:58:28,2025-05-14 20:54:35,2025-05-15 08:57:29,,48,48170,A0,A004,Y,,N,,N,,N,2025,경상남도,1.9948873282982282,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.9923309924473425,-0.6896643257895647
