statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
안정공원,HM003021,경상남도 통영시 광도면 춘원1로 6,안정그린공원,옥외주차장,24시간 이용가능,34.9507012,128.4133383,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,7.0,단독,2,2,0.0,1.0,2025-05-15 15:28:31,2025-05-15 12:28:40,2025-05-15 15:26:10,,48,48220,D0,D001,Y,,N,,N,,N,2023,경상남도,1.752475412762496,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.628713119143744,-0.3260464524859663
안정주차장,ME20C406,경상남도 통영시 광도면 황리 1645-2,,,24시간 이용가능,34.9578857,128.4200156,ME,환경부,환경부,1661-9408,4,100.0,단독,4,4,0.0,1.0,2025-05-15 15:57:00,2025-05-15 10:14:29,2025-05-15 10:54:29,,48,48220,B0,B004,Y,,N,,N,,N,2021,경상남도,2.0058224925325594,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.0087337387988393,-0.7060670721410616
고성 엄홍길전시관,HY000396,경상남도 고성군 거류면 거류로 335,주차장,경상남도 고성군 거류면 거류로 335 주차장,24시간 이용가능,34.972757,128.386826,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,2,2,0.0,1.0,2025-05-08 14:40:05,2025-05-08 10:17:57,2025-05-08 14:39:32,,48,48820,A0,A003,N,,N,,N,,N,2023,경상남도,1.71826825292942,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.57740237939413,-0.7747357127363523
안정 공영주차장,HM003004,경상남도 통영시 광도면 황리 1645-2,,옥외주차장,24시간 이용가능,34.958021,128.4206619,HM,휴맥스이브이,휴맥스이브이,1800-3189,"2,4","100.0,7.0","단독,동시",6,6,0.0,1.0,2025-05-15 14:00:32,2025-05-15 08:34:36,2025-05-15 13:59:43,,48,48220,B0,B001,Y,,N,,N,,N,2023,경상남도,2.0621135973241564,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.0931703959862347,-0.7905037293284569
거류면사무소 주차장,ME20C104,경상남도 고성군 거류면 당동3길 5,,,24시간 이용가능,34.9920786,128.4044333,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:55:34,2025-05-14 20:56:34,2025-05-14 21:35:17,,48,48820,A0,A001,Y,,N,,N,,N,2021,경상남도,3.562118360765558,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.3431775411483375,-3.04051087449056
