statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
대덕구장애인종합복지관,ST600648,대전광역시 대덕구 신탄진로 77,건물 앞 주차장,건물 앞 주차장,24시간 이용가능,36.387684007,127.42188489,ST,SK일렉링크,SK일렉링크,1566-1704,"2,4","100.0,7.0",동시,2,3,0.3333333333333333,1.0,2025-05-15 15:43:14,2025-05-15 15:43:14,2025-05-15 14:11:21,2025-05-15 15:39:59,30,30230,I0,I006,Y,,N,,N,,N,2024,대전광역시,0.23735850018699584,1,0,0,300,0.0033333333222222224,0.5,1.0,0.5333333333333334,0.0026666666577777783,0.0,0.0,-0.3560377502804938,1.6799622497106173
대덕구 산중골 공영주차장(읍내동),IVDJNMOU,대전광역시 대덕구 계족로740번길 114공영주차장,,,24시간 이용가능,36.37823621,127.4329503,IV,인큐버스,인큐버스,042-863-6698,"2,4","100.0,7.0","단독,동시",3,3,0.0,1.0,2025-05-14 13:15:05,2025-05-14 11:45:05,2025-05-14 13:15:05,,30,30230,B0,B001,Y,,N,,N,,Y,2023,대전광역시,1.2971712006873308,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-1.9457568010309962,0.7569098656267814
한국수자원공사,KP005075,대전광역시 대덕구 신탄진로 200,,,24시간 이용가능,36.3975,127.4234,KP,한국전력공사,한국전력,1899-2100,4,50.0,단독,1,1,0.0,1.0,2025-05-15 15:23:08,2025-05-15 15:00:52,2025-05-15 15:22:45,,30,30230,A0,A003,Y,,N,,N,,N,2022,대전광역시,1.090731047514271,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.6360965712714066,0.6665700953863711
CJ대한통운 유성 SUB,SZ013957,대전광역시 대덕구 신탄진로 1,,주차장,24시간 이용가능,36.3835134,127.4243939,SZ,SG생활안전,SG생활안전,1855-0119,2,7.0,단독,0,3,1.0,0.6666666666666666,2025-05-15 16:03:35,2025-05-15 16:03:35,2025-05-15 15:23:19,2025-05-15 16:03:35,30,30230,G0,G004,Y,,Y,물류차량 충전시설,N,,N,2022,대전광역시,0.46942808388336904,1,0,0,300,0.0033333333222222224,0.5,0.6666666666666666,0.0,0.0026666666577777783,0.0,0.0,-0.7041421258250535,0.4651912074993907
회덕동 공영주차장,IVDJNHWE,대전광역시 대덕구 읍내동 247-3회덕동 공영주차장,,,24시간 이용가능,36.37692498,127.4216206,IV,인큐버스,인큐버스,042-863-6698,2,7.0,단독,2,2,0.0,1.0,2025-05-15 07:15:05,2025-05-14 19:30:05,2025-05-15 07:15:05,,30,30230,B0,B001,Y,,N,,N,,N,2023,대전광역시,1.2298622456434545,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.8447933684651816,0.45787329819259615
