statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
목천 제1공영주차장,ME23A804,충청남도 천안시 동남구 목천읍 운전리 562,,,24시간 이용가능,36.7626515,127.2284379,ME,환경부,환경부,1661-9408,4,200.0,단독,8,8,0.0,1.0,2025-05-15 16:01:55,2025-05-15 15:28:48,2025-05-15 15:49:50,,44,44130,B0,B001,Y,,N,,N,,N,2023,충청남도,2.040490679541689,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.0607360193125333,-0.7580693526547555
소노벨천안,ME21C417,충청남도 천안시 동남구 성남면 종합휴양지로 200,,,24시간 이용가능,36.7551623,127.2256447,ME,환경부,환경부,1661-9408,4,200.0,동시,4,4,0.0,1.0,2025-05-15 16:15:34,2025-05-15 11:05:01,2025-05-15 11:45:02,,44,44130,E0,E003,Y,,N,,N,,N,2021,충청남도,2.116695763644796,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.175043645467194,-0.8723769788094162
독립기념관,ME18A405,충청남도 천안시 동남구 목천읍 남화리 230-1 ,,,24시간 이용가능,36.778612,127.231586,ME,환경부,환경부,1661-9408,4,100.0,단독,4,4,0.0,1.0,2025-05-15 16:11:56,2025-05-15 14:34:31,2025-05-15 15:11:54,,44,44130,D0,D002,Y,,N,,N,,N,2018,충청남도,2.70567580206549,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.058513703098235,-1.7558470364404575
독립기념관 주차장,ME21B801,충청남도 천안시 동남구 목천읍 독립기념관로 1,,,24시간 이용가능,36.7798728,127.231468,ME,환경부,환경부,1661-9408,4,100.0,단독,8,8,0.0,1.0,2025-05-15 15:59:01,2025-05-15 14:33:46,2025-05-15 14:58:06,,44,44130,D0,D007,Y,,N,,N,,N,2021,충청남도,2.7740022419702184,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.161003362955327,-1.8583366962975494
천안삼거리(서울) 휴게소,ME21A309,충청남도 천안시 동남구 구성동 153-77,,,24시간 이용가능,36.7876902,127.1733336,ME,환경부,환경부,1661-9408,4,100.0,단독,2,3,0.3333333333333333,1.0,2025-05-15 16:14:15,2025-05-15 15:31:34,2025-05-15 16:08:18,2025-05-15 15:41:43,44,44130,C0,C001,Y,,N,,N,,N,2021,충청남도,3.7908852850888106,1,0,0,300,0.0033333333222222224,0.5,1.0,0.5333333333333334,0.0026666666577777783,0.0,0.0,-5.686327927633216,-3.650327927642105
