statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
길치문화공원 공영주차장,IVDJNGIL,대전광역시 대덕구 신상로 65길치문화공원 공영주차장,,,24시간 이용가능,36.357417163,127.4606019,IV,인큐버스,인큐버스,042-863-6698,"2,4","100.0,7.0","단독,동시",5,5,0.0,1.0,2025-05-15 11:00:05,2025-05-15 01:30:05,2025-05-15 11:00:05,,30,30230,B0,B001,Y,,N,,N,,Y,2023,대전광역시,0.3731807150245466,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-0.5597710725368199,2.142895594120958
비래동 143-7 공영주차장,IVDJBRP1,대전광역시 대덕구 비래동 143-7,,,24시간 이용가능,36.354548951,127.4532635,IV,인큐버스,인큐버스,042-863-6698,2,7.0,단독,2,2,0.0,1.0,2025-05-15 13:15:05,2025-05-15 00:45:05,2025-05-15 13:15:05,,30,30230,B0,B001,N,,N,,N,,N,2024,대전광역시,0.3931517264071926,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.5897275896107889,1.2129390770469888
한국도로공사대전지사,ME178132,대전광역시 대덕구 동서대로 1855,,,24시간 이용가능,36.3613313,127.4484343,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 16:03:27,2025-05-15 08:01:55,2025-05-15 08:42:32,,30,30230,A0,A003,Y,,N,,N,,N,2017,대전광역시,0.8685193022035135,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.3027789533052703,0.9998877133525075
롯데칠성음료 동대전영업소,JA300011,대전광역시 대덕구 비래서로9번길 19,롯데칠성음료 동대전영업소 지상 1층,롯데칠성음료 동대전영업소 지상 1층,24시간 이용가능,36.3564697,127.4456947,JA,이브이시스,이브이시스,1577-1556,2,11.0,단독,1,1,0.0,1.0,2025-05-13 22:40:01,2025-05-13 13:35:01,2025-05-13 22:40:01,,30,30230,G0,G004,Y,,Y,직원 및 업무용차량 출입 제한,N,,N,2022,대전광역시,0.9667614657906337,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.4501421986859506,0.8525244679718271
우암사적공원,ME190403,대전광역시 동구 가양동60,,,24시간 이용가능,36.34726,127.456721,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 15:59:14,2025-05-15 14:48:10,2025-05-15 15:05:25,,30,30110,D0,D001,Y,,N,,N,,N,2019,대전광역시,1.0789584355046642,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.6184376532569962,0.6842290134007816
