statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
진주럭키골프랜드,LU002368,경상남도 진주시 명석면 판문로 504-4,,주차장 출구 좌측 2면,24시간 이용가능,35.210193,128.030689,LU,LG유플러스 볼트업,LG유플러스,1660-0365,2,7.0,단독,2,2,0.0,1.0,2025-05-10 18:48:09,2025-05-10 16:38:08,2025-05-10 18:48:01,,48,48170,E0,E004,Y,,N,,N,,Y,2024,경상남도,1.2899735545187136,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-1.9349603317780706,0.7677063348797071
명석면사무소,KP005776,경상남도 진주시 명석면 광제산로 37,,,24시간 이용가능,35.21,128.04,KP,한국전력,한국전력,1899-2100,4,100.0,단독,1,1,0.0,1.0,2025-05-15 00:57:07,2025-05-14 16:46:28,2025-05-14 17:08:48,,48,48170,A0,A002,Y,,N,,N,,N,2024,경상남도,1.7807412210426379,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.671111831563957,-0.3684451649061793
진주굿모닝병원,PL030540,경상남도 진주시 서장대로213번길 7,진주굿모닝병원,지상 1층 건물우측편,24시간 이용가능,35.1914978,128.0558286,PL,플러그링크,플러그링크,1533-0702,2,7.0,단독,2,2,0.0,1.0,2025-05-15 12:06:44,2025-05-15 11:27:26,2025-05-15 12:06:44,,48,48170,B0,B001,N,,Y,시설 상황에 따라 이용이 제한될 수 있음,N,,Y,2024,경상남도,2.920550310089396,0,1,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.4,0.0,-4.380825465134094,-2.178158798476316
진주진양호둘레길주차장,PI718606,경상남도 진주시 판문동 486-1,,여성전용주차장 옆 주차면,24시간 이용가능,35.1759818,128.0406394,PI,GS차지비,GS차지비,1544-4279,2,7.0,단독,1,1,0.0,1.0,2025-05-12 14:31:49,2025-05-12 14:24:02,2025-05-12 14:24:02,,48,48170,B0,B001,N,,N,,N,,N,2023,경상남도,2.9662274835338533,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.44934122530078,-2.6466745586430025
E1 진주오렌지 전기차 충전소,EO000072,경상남도 진주시 유곡동 122-2,,,24시간 이용가능,35.194211,128.062293,EO,E1,E1,1688-2121,4,200.0,단독,1,1,0.0,1.0,2025-05-15 01:06:31,2025-05-15 01:02:51,2025-05-15 01:06:31,,48,48170,E0,E007,Y,,N,,N,,N,2023,경상남도,3.420154061663931,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.1302310924958965,-2.8275644258381187
