statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
추부면 체육센터,ME24B191,충청남도 금산군 추부면 하마전로 75,,,24시간 이용가능,36.192441,127.473921,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 16:15:48,2025-05-14 21:52:20,2025-05-14 22:32:22,,44,44710,J0,J007,Y,,N,,N,,N,2024,충청남도,2.463055235549259,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.6945828533238885,-1.3919161866661107
상소오토캠핑장,CV001633,대전광역시 동구 산내로 724-27,상소오토캠핑장 제1주차장,지상1층 야외주차장(입구통과 직진후 좌측),24시간 이용가능,36.23584,127.46911799,CV,채비,채비,1522-2573,4,100.0,동시,4,4,0.0,1.0,2025-05-15 15:10:29,2025-05-15 14:32:15,2025-05-15 15:07:08,,30,30110,E0,E003,Y,,N,,N,,N,2022,대전광역시,3.478065280720661,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.217097921080992,-2.914431254423214
만인산자연휴양림,CV003317,대전광역시 동구 하소동 산47,"(하소동, 만인산푸른학습원)",지상1층 주차장,24시간 이용가능,36.2003963,127.4512161,CV,채비,채비,1522-2573,4,100.0,동시,1,2,0.5,1.0,2025-05-15 15:40:43,2025-05-15 15:38:41,2025-05-15 15:38:43,2025-05-15 15:38:41,30,30110,D0,D004,Y,,N,,N,,N,2023,대전광역시,3.705826270293529,1,0,0,300,0.0033333333222222224,0.5,1.0,0.4,0.0026666666577777783,0.0,0.0,-5.558739405440294,-3.656072738782516
대전시립제2노인전문병원,CV003558,대전광역시 동구 산내로 300,"(하소동, 제2시립노인전문병원)",지상1층 주차장,24시간 이용가능,36.212602,127.4399609,CV,채비,채비,1522-2573,4,100.0,단독,2,2,0.0,1.0,2025-05-15 04:40:36,2025-05-14 15:39:00,2025-05-14 15:58:23,,30,30110,I0,I001,Y,,N,,N,,N,2023,대전광역시,4.570983123777975,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-6.856474685666964,-4.553808019009185
대전시 동구 문글램핑,PI420190,대전광역시 동구 산내로 237,,주차장,24시간 이용가능,36.208068048,127.43972069,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,1,1,0.0,1.0,2025-05-14 13:01:11,2025-05-02 03:59:58,2025-05-02 03:59:58,,30,30110,E0,E003,Y,,N,,N,,N,2023,대전광역시,4.587417567510899,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-6.8811263512663485,-4.578459684608571
