statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
고성공룡나라휴게소 (통영),ST488204,경상남도 고성군 대가면 통영대전고속도로 29,,주차장,24시간 이용가능,35.0519739,128.2634884,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,3,3,0.0,1.0,2025-05-15 15:32:31,2025-05-15 14:19:17,2025-05-15 14:59:00,,48,48820,C0,C001,Y,,N,,N,,Y,2023,경상남도,1.6725207441831418,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-2.5087811162747125,0.1938855503830652
워터 고성공룡나라휴게소 통영방향,BE241239,경상남도 고성군 대가면 통영대전고속도로 29,,주유소 우측,24시간 이용가능,35.051847,128.263186,BE,브라이트에너지파트너스,브라이트에너지파트너스,1600-8025,"10,4","200.0,350.0",단독,5,5,0.0,1.0,2025-05-15 13:09:01,2025-05-15 12:44:18,2025-05-15 13:09:01,,48,48820,C0,C001,Y,,N,,N,,Y,2024,경상남도,1.6885090694446252,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-2.532763604166938,0.16990306249083975
고성공룡나라(통영) 휴게소,ME178048,경상남도 고성군 대가면 통영대전고속도로 29 (송계리),,,24시간 이용가능,35.0515247,128.2640664,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 15:55:16,2025-05-14 10:40:07,2025-05-14 10:41:39,,48,48820,C0,C001,Y,,N,,N,,N,2017,경상남도,1.6014484316535487,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.402172647480323,-0.09950598082254514
워터 고성공룡나라휴게소 대전방향,BE241238,경상남도 고성군 대가면 통영대전고속도로 32,,휴게소 진입로 ,24시간 이용가능,35.055977,128.253486,BE,브라이트에너지파트너스,브라이트에너지파트너스,1600-8025,"10,4","200.0,350.0",단독,6,6,0.0,1.0,2025-05-15 15:39:18,2025-05-15 15:30:24,2025-05-15 15:39:18,,48,48820,C0,C001,Y,,N,,N,,Y,2024,경상남도,2.6823642598482103,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-4.023546389772315,-1.3208797231145377
고성공룡나라휴게소 (대전),ST488205,경상남도 고성군 대가면 통영대전고속도로 32,,주차장,24시간 이용가능,35.0560099,128.2523501,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,2,2,0.0,1.0,2025-05-15 12:57:23,2025-05-15 12:43:25,2025-05-15 12:57:23,,48,48820,C0,C001,Y,,N,,N,,Y,2023,경상남도,2.7742652732630604,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-4.161397909894591,-1.4587312432368131
