statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
화성 경기주택공사 급속충전소(조달청),EP230064,경기도 화성시 동탄순환대로14길 36,"경기도 동탄시 산척동841,.844 주차장",주차장,24시간 이용가능,37.3413702,127.1103821,EP,이카플러그,이카플러그,1833-4577,4,50.0,동시,4,4,0.0,1.0,2025-05-14 20:52:14,2025-05-14 06:05:36,2025-05-14 06:05:25,,41,41590,A0,A003,Y,"경기도 동탄시 산척동841,.844 / 해당주소이나 도로명 주소가 없어 주소 옆 건물로 설정하였습니다.",N,시설 상황에 따라 이용이 제한될 수 있음,N,,Y,2023,경기도,0.8152808731153025,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-1.2229213096729539,1.4797453569848238
분당충전소_소모에너지,GS000503,경기도 성남시 분당구 탄천상로 116,소모 분당충전소,,24시간 이용가능,37.3420054,127.111498,GS,GS칼텍스,GS칼텍스,1544-5151,4,200.0,단독,4,4,0.0,1.0,2025-05-15 14:45:41,2025-05-15 14:21:02,2025-05-15 14:45:41,,41,41130,E0,E007,Y,,N,,N,,Y,2023,경기도,0.8545649536580966,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-1.281847430487145,1.4208192361706327
금곡동공영주차장 (급),EC410183,경기도 성남시 분당구 금곡동 169,,,24시간 이용가능,37.3507737,127.1068243,EC,이지차저,이지차저,1544-3332,4,100.0,동시,2,2,0.0,1.0,2025-05-15 13:02:25,2025-05-15 12:22:22,2025-05-15 12:45:30,,41,41130,B0,B001,Y,관리 시설에 따라 주차비가 발생할 수 있음 ,N,,N,,N,2023,경기도,0.6138701371577207,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.920805205736581,1.3818614609211968
성남시 로드랜드EZ타워,PI000334,경기도 성남시 분당구 성남대로 69,,1동 지상1층 주차장,24시간 이용가능,37.3421162,127.1082796,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,4,4,0.0,1.0,2025-05-15 13:24:18,2025-05-15 13:23:55,2025-05-15 13:23:55,,41,41130,G0,G004,Y,,N,,N,,N,2017,경기도,0.6214596390336281,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.9321894585504422,1.3704772081073355
화성 경기주택공사 충전소(조달청),EP230067,경기도 화성시 동탄순환대로14길 36,"경기도 동탄시 산척동841,.844 주차장",주차장,24시간 이용가능,37.3413702,127.1103821,EP,이카플러그,이카플러그,1833-4577,2,7.0,"단독,동시",10,10,0.0,1.0,2025-05-15 15:30:04,2025-05-14 11:05:43,2025-05-15 10:05:39,,41,41590,A0,A003,Y,"경기도 동탄시 산척동841,.844 / 해당주소이나 도로명 주소가 없어 주소 옆 건물로 설정하였습니다.",N,시설 상황에 따라 이용이 제한될 수 있음,N,,N,2023,경기도,0.8152808731153025,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.2229213096729539,1.0797453569848239
