statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
통영시 정각사사찰,PI550519,경상남도 통영시 광도면 홀리1길 340-198,,주차장,24시간 이용가능,34.8955389,128.3946865,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,1,1,0.0,1.0,2025-05-08 01:04:52,2025-02-17 14:53:30,2025-02-17 14:53:30,,48,48220,I0,I002,Y,,N,,N,,N,2024,경상남도,3.0359094893083562,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.553864233962535,-2.251197567304757
안정공원,HM003021,경상남도 통영시 광도면 춘원1로 6,안정그린공원,옥외주차장,24시간 이용가능,34.9507012,128.4133383,HM,휴맥스이브이,휴맥스이브이,1800-3188,2,7.0,단독,2,2,0.0,1.0,2025-05-15 15:28:31,2025-05-15 12:28:40,2025-05-15 15:26:10,,48,48220,D0,D001,Y,,N,,N,,N,2023,경상남도,3.4074259830310125,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.1111389745465186,-2.808472307888741
통영시 사이존모텔,PI550557,경상남도 통영시 광도면 죽림해안로 40,지상1층주차장입구왼쪽 ,지상1층주차장입구왼쪽 ,24시간 이용가능,34.8868941,128.4207809,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,1,1,0.0,1.0,2025-05-14 10:30:09,2025-05-03 16:04:39,2025-05-03 16:04:39,,48,48220,E0,E003,Y,,N,,N,,N,2023,경상남도,3.8724729662900366,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.808709449435055,-3.506042782777277
오페라호텔,SOSKQ198,경상남도 통영시 광도면 죽림5로 25-25,,주차장,24시간 이용가능,34.886747,128.420382,SO,선광시스템,선광시스템,1533-2972,2,7.0,단독,1,1,0.0,1.0,2025-05-12 03:01:25,2025-05-04 15:52:14,2025-05-04 20:22:15,,48,48220,E0,E003,Y,,N,시설 상황에 따라 이용이 제한될 수 있음.,N,,N,2022,경상남도,3.878043992778865,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.817065989168297,-3.5143993225105192
2월호텔 통영죽림점,EZ001229,경상남도 통영시 광도면 죽림5로 25-28,주차장,주차장,24시간 이용가능,34.886551,128.4203293,EZ,차지인,(주)차지인,1577-8961,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:00:19,2025-05-12 21:25:04,2025-05-13 01:58:15,,48,48220,E0,E003,Y,,N,,N,,N,2023,경상남도,3.8977042768710035,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-5.846556415306505,-3.5438897486487275
