statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
OB맥주 청주공장,HY001195,충청북도 청주시 서원구 현도면 현도공단로 151,북문 안쪽 지상주차장,충청북도 청주시 서원구 현도면 현도공단로 151 북문 안쪽 지상주차장,24시간 이용가능,36.5038347,127.416517,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,8,8,0.0,1.0,2025-05-12 05:51:05,2025-05-11 17:28:58,2025-05-12 05:50:08,,43,43110,G0,G004,N,,N,,N,,N,2024,충청북도,1.9235777483397565,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.885366622509635,-1.082699955851857
죽암(서울) 휴게소,ME184146,충청북도 청주시 서원구 현도면 경부고속도로 290,휴게소 입구 우측 끝(차량정비소 좌측 끝),,24시간 이용가능,36.4958964,127.4306677,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 16:11:26,2025-05-15 14:16:52,2025-05-15 14:46:37,,43,43110,C0,C001,Y,,N,,N,,N,2018,충청북도,2.402711190812863,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.6040667862192945,-1.3014001195615168
죽암(서울) 휴게소,ME178019,충청북도 청주시 서원구 현도면 경부고속도로 290,,,24시간 이용가능,36.4957964,127.4308677,ME,환경부,환경부,1661-9408,6,50.0,단독,2,2,0.0,1.0,2025-05-15 16:13:57,2025-05-15 09:35:32,2025-05-15 10:18:38,,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도,2.4145116170438907,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.621767425565836,-1.3191007589080583
죽암(서울) 휴게소,ME21A308,충청북도 청주시 서원구 현도면 선동2길 232-9,,,24시간 이용가능,36.4969259,127.4304364,ME,환경부,환경부,1661-9408,4,100.0,단독,2,3,0.3333333333333333,0.6666666666666666,2025-05-15 16:03:10,2025-05-15 14:48:32,2025-05-15 14:52:08,,43,43110,C0,C001,Y,,N,,N,,N,2021,충청북도,2.2876443492652823,1,0,0,300,0.0033333333222222224,0.5,0.6666666666666666,0.5333333333333334,0.0026666666577777783,0.0,0.0,-3.4314665238979236,-1.728799857240146
세종시 미래생활,PI645167,세종특별자치시 부강면 연청로 1147-1,,공장동 좌측 주차장,24시간 이용가능,36.531463,127.3979758,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,3,3,0.0,1.0,2025-05-14 10:30:30,2025-05-08 15:35:36,2025-05-08 15:35:36,,36,36110,G0,G004,Y,,N,,N,,N,2024,세종특별자치시,3.2348072170259514,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.852210825538927,-2.5495441588811496
