statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
안성초등학교옆 주차장,JA520009,전북특별자치도 무주군 안성면 칠연로 58,안성초등학교옆 주차장,,24시간 이용가능,35.8649915,127.655364,JA,이브이시스,이브이시스,1577-1556,4,30.0,단독,1,1,0.0,1.0,2025-05-14 20:20:12,2025-05-14 19:14:11,2025-05-14 20:20:12,,52,52730,A0,A003,Y,,N,,N,,N,2024,전북특별자치도,0.9556658887801645,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.4334988331702467,0.869167833487531
(급속)무주 안성초등학교 뒤 공영주차장,WB510085,전북특별자치도 무주군 안성면 장기리 1295-7,공영주차장,,24시간 이용가능,35.865268,127.6567352,WB,이브이루씨,(주)이브이루씨,1833-2909,4,100.0,동시,2,2,0.0,1.0,2025-05-11 14:05:02,2025-05-11 13:11:10,2025-05-11 14:01:12,,52,52730,B0,B001,Y,,N,,N,,N,2024,전북특별자치도,1.0021104864824804,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.5031657297237206,0.7995009369340571
안성면 행정복지센터,ME23A246,전북특별자치도 무주군 안성면 장기리 1556,,,24시간 이용가능,35.8629598,127.6529161,ME,환경부,환경부,1661-9408,4,200.0,단독,2,2,0.0,1.0,2025-05-15 15:32:03,2025-05-14 14:24:58,2025-05-14 15:01:12,,52,52730,A0,A002,Y,,N,,N,,N,2023,전북특별자치도,1.075760947466747,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-1.6136414212001207,0.6890252454576571
해밀캠핑장,KRC10131,전북특별자치도 무주군 안성면 덕산로 112-7,해밀캠핑장,,24시간 이용가능,35.85999,127.678897,KR,이브이씨코리아,이브이씨원,1899-3861,2,7.0,단독,0,1,1.0,0.0,,,,,52,52730,G0,G004,Y,,N,,N,,Y,2025,전북특별자치도,2.9599808611300253,1,1,0,300,0.0033333333222222224,0.5,0.0,0.0,0.0026666666577777783,0.4,0.0,-4.439971291695038,-3.53730462503726
안성칠연지구공영주차장,CV004110,전북특별자치도 무주군 안성면 공정리 210-1,"(공정리, 공영주차장)",지상1층 주차장,24시간 이용가능,35.83974863,127.6892415,CV,채비,채비,1522-2573,6,50.0,단독,2,2,0.0,1.0,2025-05-14 08:15:35,2025-05-05 20:55:14,2025-05-05 21:39:53,,52,52730,B0,B001,Y,,N,,N,,N,2024,전북특별자치도,5.074510465110646,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-7.6117656976659696,-5.309099031008191
