statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
미디어코어시스템즈,KL002235,경기도 화성시 동탄대로23길 93,미디어코어시스템즈,미디어코어시스템즈,24시간 이용가능,37.21259,127.09715,KL,클린일렉스,클린일렉스,02-1811-1350,2,7.0,단독,1,1,0.0,1.0,2025-05-15 15:17:04,2025-05-15 09:06:34,2025-05-15 15:16:20,,41,41590,A0,A001,Y,,N,,N,,N,2022,경기도,0.14498617992523297,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.21747926988784944,2.0851873967699284
동탄골든아이타워,KL002278,경기도 화성시 동탄기흥로 570-6,동탄골든아이타워,,24시간 이용가능,37.21092,127.09327,KL,클린일렉스,클린일렉스,1811-1350,2,7.0,단독,4,5,0.1999999999999999,1.0,2025-05-15 13:47:04,2025-05-15 13:47:04,2025-05-15 12:55:34,2025-05-15 13:46:23,41,41590,A0,A003,Y,,N,,N,,N,2022,경기도,0.3655199098386139,1,0,0,300,0.0033333333222222224,0.5,1.0,0.6400000000000001,0.0026666666577777783,0.0,0.0,-0.5482798647579208,1.5943868018998573
삼성테크노타워,KL002397,경기도 화성시 동탄첨단산업1로 20,,101동 지하1층,24시간 이용가능,37.21115,127.0914,KL,클린일렉스,클린일렉스,1811-1350,2,14.0,단독,2,2,0.0,1.0,2025-05-14 12:54:03,2025-05-14 10:03:34,2025-05-14 12:53:19,,41,41590,G0,G004,Y,,N,,N,,N,2022,경기도,0.47418758389792903,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.7112813758468935,1.591385290810884
BMW차징스테이션 동탄우미뉴브,PI645268,경기도 화성시 동탄대로23길 121,,지상6층 주차장,24시간 이용가능,37.2109049,127.0969977,PI,GS차지비,GS차지비,1600-4047,2,7.0,단독,7,11,0.3636363636363636,1.0,2025-05-15 15:04:27,2025-05-15 15:03:51,2025-05-15 15:03:51,2025-05-15 15:04:27,41,41590,G0,G004,Y,,N,,N,,N,2024,경기도,0.29827850207972084,1,0,0,300,0.0033333333222222224,0.5,1.0,0.5090909090909091,0.0026666666577777783,0.0,0.0,-0.44741775311958126,1.5643398226291059
동탄금강펜테리움IT타워24,PW800675,경기도 화성시 동탄기흥로 557,,지상1층 건물 앞 주차장,24시간 이용가능,37.209872905,127.09218596,PW,파워큐브,파워큐브코리아,1833-8017,2,7.0,단독,6,6,0.0,1.0,2025-04-29 08:54:10,2025-04-04 13:41:40,2025-04-04 13:42:03,,41,41590,G0,G004,Y,,N,,N,,N,2025,경기도,0.5164234938126684,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.7746352407190026,1.5280314259387753
