statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
죽암휴게소 (부산),ST431146,충청북도 청주시 서원구 현도면 경부고속도로 289,,롯데리아 지나서,24시간 이용가능,36.4869665,127.4291915,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,3,5,0.4,1.0,2025-05-15 16:09:36,2025-05-15 16:04:37,2025-05-15 16:06:30,2025-05-15 16:09:36,43,43110,C0,C001,Y,,N,,N,,Y,2023,충청북도,1.6010259338313757,1,1,0,300,0.0033333333222222224,0.5,1.0,0.48,0.0026666666577777783,0.4,0.0,-2.4015389007470636,-0.018872234089285733
현도면사무소,ME183184,충청북도 청주시 서원구 현도면 선동1길 9,,,24시간 이용가능,36.4864229,127.4240825,ME,환경부,환경부,1661-9408,"4,6","100.0,50.0","단독,동시",3,3,0.0,1.0,2025-05-15 16:13:49,2025-05-15 11:52:16,2025-05-15 12:03:52,,43,43110,A0,A002,Y,,N,,N,,N,2018,충청북도,1.5845620443842994,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.3768430665764493,-0.07417639991867153
금강로하스 산호빛공원 공영주차장,IVDJNLOA,대전광역시 대덕구 대덕대로1527번길 200금강로하스 산호빛공원 공영주차장,,,24시간 이용가능,36.45374951,127.42102149,IV,인큐버스,인큐버스,042-863-6698,2,7.0,단독,2,2,0.0,1.0,2025-05-10 09:30:05,2025-05-09 22:30:05,2025-05-10 09:30:05,,30,30230,B0,B001,Y,,N,,N,,N,2023,대전광역시,2.1937049233514605,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.2905573850271908,-0.987890718369413
저스트슬립호텔 신탄진역점,CV000736,대전광역시 대덕구 신탄진로810번길 32,"(신탄진동, 저스트슬립호텔)",지상1층 주차장,24시간 이용가능,36.449819,127.4309599,CV,채비,채비,1522-2573,2,7.0,단독,2,2,0.0,1.0,2025-05-14 19:30:27,2025-05-14 16:57:33,2025-05-14 19:30:08,,30,30230,E0,E003,Y,,N,,N,,N,2020,대전광역시,2.542508599036719,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.813762898555079,-1.5110962318973011
죽암(서울) 휴게소,ME178019,충청북도 청주시 서원구 현도면 경부고속도로 290,,,24시간 이용가능,36.4957964,127.4308677,ME,환경부,환경부,1661-9408,6,50.0,단독,2,2,0.0,1.0,2025-05-15 16:13:57,2025-05-15 09:35:32,2025-05-15 10:18:38,,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도,2.5910106630847913,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.886515994627187,-1.5838493279694092
