statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
서하 보건지소(함양),PC001208,경상남도 함양군 서하면 송계앞길 7,,지상 주차장,24시간 이용가능,35.647494728,127.69709852,PC,파킹클라우드,아이파킹,1533-5783,"2,4","50.0,7.0",단독,2,2,0.0,1.0,2025-05-12 18:41:30,2025-05-10 05:31:28,2025-05-10 06:15:18,,48,48870,I0,I003,Y,,N,,N,,N,2025,경상남도,0.6166364486836039,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.9249546730254059,1.3777119936323718
함양 서하면 사무소,HY000263,경상남도 함양군 서하면 함양남서로 3937,서하면사무소 주차장 안쪽,경상남도 함양군 서하면 함양남서로 3937 서하면사무소 주차장 안쪽,24시간 이용가능,35.647508,127.695504,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,1,1,0.0,1.0,2025-05-15 09:11:04,2025-05-14 17:56:49,2025-05-15 09:09:53,,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,0.5710381540273565,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.8565572310410348,0.946109435616743
서상시장,KP005111,경상남도 함양군 서상면 칠형정뒷길 16,,,24시간 이용가능,35.6798,127.688,KP,한국전력공사,한국전력,1899-2100,4,100.0,단독,1,1,0.0,1.0,2025-05-15 14:03:07,2025-05-15 13:47:02,2025-05-15 14:01:45,,48,48870,B0,B001,Y,,N,,N,,N,2022,경상남도,3.0831219432217396,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.62468291483261,-2.322016248174832
함양 부전계곡 주차장,HY000256,경상남도 함양군 서상면 부전계곡로 314-66,공영주차장,경상남도 함양군 서상면 부전계곡로 314-66 공영주차장,24시간 이용가능,35.644928,127.66134,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,2,2,0.0,1.0,2025-05-05 17:44:02,2025-05-05 09:55:38,2025-05-05 17:43:19,,48,48870,B0,B001,N,,N,,N,,N,2023,경상남도,3.095022916078924,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.6425343741183855,-2.839867707460608
함양 서상면사무소,HY000264,경상남도 함양군 서상면 서상로 260,서상면사무소 주차장,경상남도 함양군 서상면 서상로 260 서상면사무소,24시간 이용가능,35.679042,127.687862,HY,현대엔지니어링,현대엔지니어링,1833-8777,2,7.0,단독,0,1,1.0,1.0,2025-05-15 11:29:03,2025-05-15 11:28:57,2025-05-14 10:53:01,2025-05-15 11:28:57,48,48870,A0,A002,N,,N,,N,,N,2023,경상남도,3.0027023598592306,0,0,0,300,0.0033333333222222224,0.0,1.0,0.0,0.0026666666577777783,0.0,0.0,-4.5040535397888455,-3.501386873131068
