statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
단성면사무소,ME20C121,경상남도 산청군 단성면 목화로 985,,,24시간 이용가능,35.29910471,127.95769767,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:52:47,2025-05-15 07:19:25,2025-05-15 07:59:25,,48,48860,A0,A001,Y,,N,,N,,N,2021,경상남도,1.633648500481786,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.450472750722679,-0.14780608406490137
단성면문화공원,EC480126,경상남도 산청군 단성면 성내리 149-1,,,24시간 이용가능,35.2983412,127.9593625,EC,이지차저,이지차저,1544-3332,2,7.0,단독,2,2,0.0,1.0,2025-05-02 16:12:30,2025-05-02 13:57:09,2025-05-02 16:10:11,,48,48860,D0,D001,Y,,N,,N,,N,2024,경상남도,1.8065630351517892,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.7098445527276835,-0.4071778860699058
신기주차장(산청),PC000583,경상남도 산청군 단성면 강누리 192-2,,장가계측 주차구역,24시간 이용가능,35.3018771,127.9638757,PC,파킹클라우드,파킹클라우드,1533-5783,4,50.0,단독,1,1,0.0,1.0,2025-04-29 09:01:04,2025-04-24 13:35:41,2025-04-24 13:44:28,,48,48860,B0,B001,Y,,N,,N,,N,2024,경상남도,2.074677047424961,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.1120155711374418,-0.809348904479664
목화시배지,EC480127,경상남도 산청군 단성면 목화로 887,,,24시간 이용가능,35.2904421,127.9583098,EC,이지차저,이지차저,1544-3332,2,7.0,단독,2,2,0.0,1.0,2025-05-06 11:14:27,2025-05-06 10:54:10,2025-05-06 11:12:19,,48,48860,A0,A004,Y,,N,,N,,N,2024,경상남도,2.2600911982319607,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.390136797347941,-1.0874701306901633
덕산가스,KL002701,경상남도 산청군 신안면 하정리 927-12 투다리,,1층 옥외주차장 벽면,24시간 이용가능,35.30163,127.96957,KL,클린일렉스,(주)클린일렉스,1811-1350,2,7.0,단독,1,1,0.0,1.0,2025-05-05 23:05:04,2025-05-05 13:18:00,2025-05-05 22:59:47,,48,48860,G0,G004,Y,,N,,N,,N,2023,경상남도,2.5883397130999772,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.882509569649966,-1.5798429029921883
