statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
덕유산휴게소 (하남),ST457303,전북특별자치도 무주군 안성면 통영대전고속도로 148,,전기차 충전소,24시간 이용가능,35.815109793,127.64500481,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,3,3,0.0,1.0,2025-05-15 15:34:23,2025-05-15 15:22:12,2025-05-15 15:34:23,,52,52730,C0,C001,Y,,N,,N,,Y,2023,전북특별자치도,1.4589224931346298,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-2.188383739701945,0.5142829269558327
덕유산휴게소(대전) ,SGMAC031,전북특별자치도 무주군 안성면 통영대전고속도로 148,,,24시간 이용가능,35.8176832,127.6458246,SG,SK시그넷,SK시그넷 ,1661-7737,4,350.0,단독,5,6,0.1666666666666666,1.0,2025-05-15 15:24:18,2025-05-15 14:21:03,2025-05-15 15:02:38,2025-05-15 13:18:30,52,52730,C0,C001,Y,회원가 295원 비회원가 295원,N,,N,,N,2025,전북특별자치도,1.1663814195389453,1,0,0,300,0.0033333333222222224,0.5,1.0,0.6666666666666667,0.0026666666577777783,0.0,0.0,-1.7495721293084179,0.419761204016027
골프존카운티 무주,NT100664,전북특별자치도 무주군 안성면 장무로 1537-21,,지상주차장,24시간 이용가능,35.8284731,127.6376004,NT,한국전자금융,한국전자금융,1533-2522,2,7.0,단독,3,4,0.25,1.0,2025-05-15 14:49:50,2025-05-15 13:21:50,2025-05-15 14:49:50,2025-05-15 13:21:50,52,52730,E0,E004,N,,N,,N,,N,2023,전북특별자치도,0.8507981174504726,0,0,0,300,0.0033333333222222224,0.0,1.0,0.6000000000000001,0.0026666666577777783,0.0,0.0,-1.276197176175709,0.32646949048206886
덕유산휴게소 (통영),ST457402,전북특별자치도 장수군 계북면 통영대전고속도로 147,,,24시간 이용가능,35.811823448,127.64363473,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,3,3,0.0,1.0,2025-05-15 15:36:43,2025-05-15 15:04:31,2025-05-15 15:16:05,,52,52740,C0,C001,Y,,N,,N,,Y,2023,전북특별자치도,1.8385333078941204,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-2.7577999618411804,-0.05513329518340271
덕유산휴게소(통영),SGMAC019,전북특별자치도 장수군 계북면 통영대전고속도로 147,,,24시간 이용가능,35.8133679,127.6429212,SG,SK시그넷,SK시그넷 ,1661-7737,4,350.0,단독,6,7,0.1428571428571429,1.0,2025-05-15 15:50:28,2025-05-15 13:48:50,2025-05-15 14:13:13,2025-05-15 13:47:42,52,52740,C0,C001,Y,회원가 295원 비회원가 295원,N,,N,,N,2024,전북특별자치도,1.6824154129287132,1,0,0,300,0.0033333333222222224,0.5,1.0,0.6857142857142857,0.0026666666577777783,0.0,0.0,-2.52362311939307,-0.33524216702100595
