statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
고성공룡나라휴게소 (대전),ST488205,경상남도 고성군 대가면 통영대전고속도로 32,,주차장,24시간 이용가능,35.0560099,128.2523501,ST,SK일렉링크,SK일렉링크,1566-1704,4,"200.0,350.0",단독,2,2,0.0,1.0,2025-05-15 12:57:23,2025-05-15 12:43:25,2025-05-15 12:57:23,,48,48820,C0,C001,Y,,N,,N,,Y,2023,경상남도,2.580798756081615,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-3.871198134122422,-1.1685314674646445
대가면송계보건진료소,PW000122,경상남도 고성군 대가면 대가로 1104-7,,건물입구우측기둥,24시간 이용가능,35.052867,128.243869,PW,파워큐브,파워큐브코리아,1833-8017,2,7.0,단독,1,1,0.0,1.0,2025-05-05 05:16:12,2025-05-04 22:19:52,2025-05-05 05:14:36,,48,48820,I0,I003,Y,,N,,N,,N,2018,경상남도,2.318085160709294,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.4771277410639407,-1.174461074406163
워터 고성공룡나라휴게소 대전방향,BE241238,경상남도 고성군 대가면 통영대전고속도로 32,,휴게소 진입로 ,24시간 이용가능,35.055977,128.253486,BE,브라이트에너지파트너스,브라이트에너지파트너스,1600-8025,"10,4","200.0,350.0",단독,6,6,0.0,1.0,2025-05-15 15:39:18,2025-05-15 15:30:24,2025-05-15 15:39:18,,48,48820,C0,C001,Y,,N,,N,,Y,2024,경상남도,2.6648456145112185,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-3.9972684217668277,-1.29460175510905
고성공룡나라(대전) 휴게소,ME178049,경상남도 고성군 대가면 통영대전고속도로 32 (신전리),,,24시간 이용가능,35.0570523,128.2513447,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 15:54:14,2025-05-15 11:02:54,2025-05-15 11:40:19,,48,48820,C0,C001,Y,,N,,N,,N,2017,경상남도,2.4373441856233207,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-3.656016278434981,-1.3533496117772033
영현면사무소 주차장,ME20C109,경상남도 고성군 영현면 침점리 356-2,,,24시간 이용가능,35.0541445,128.2057497,ME,환경부,환경부,1661-9408,4,100.0,단독,1,1,0.0,1.0,2025-05-15 15:52:12,2025-05-14 16:30:27,2025-05-14 16:56:43,,48,48820,A0,A001,Y,,N,,N,,N,2021,경상남도,2.8617620824042334,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.29264312360635,-1.9899764569485723
