statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
청주휴게소 (서울),ST431145,충청북도 청주시 흥덕구 옥산면 경부고속도로 318,청주휴게소(서울),전기차 충전소,24시간 이용가능,36.7167332,127.3474171,ST,SK일렉링크,SK일렉링크,1566-1704,4,200.0,단독,4,5,0.1999999999999999,1.0,2025-05-15 15:58:24,2025-05-15 15:41:47,2025-05-15 15:51:59,2025-05-15 15:58:24,43,43110,C0,C001,Y,,N,,N,,Y,2023,충청북도,0.24967781893322294,1,1,0,300,0.0033333333222222224,0.5,1.0,0.6400000000000001,0.0026666666577777783,0.4,0.0,-0.3745167283998344,2.1681499382579434
청주(서울) 휴게소,ME178020,충청북도 청주시 흥덕구 옥산면 경부고속도로 318 (장남리),,,24시간 이용가능,36.7162491,127.3487936,ME,환경부,환경부,1661-9408,6,50.0,단독,1,1,0.0,1.0,2025-05-15 16:10:15,2025-05-14 20:02:19,2025-05-14 20:04:49,,43,43110,C0,C001,Y,,N,,N,,N,2017,충청북도,0.19842198076055564,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.2976329711408335,2.005033695516944
청주(서울) 휴게소,ME21A210,충청북도 청주시 흥덕구 옥산면 장남리 285-4,,,24시간 이용가능,36.7164453,127.3486535,ME,환경부,환경부,1661-9408,4,100.0,단독,2,2,0.0,1.0,2025-05-15 16:02:30,2025-05-15 15:30:21,2025-05-15 15:42:41,,43,43110,C0,C001,Y,,N,,N,,N,2021,충청북도,0.21603290278538703,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.32404935417808056,1.978617312479697
청주(서울) 휴게소,ME18C511,충청북도 청주시 흥덕구 옥산면 경부고속도로 318,,,24시간 이용가능,36.71654,127.348773,ME,환경부,환경부,1661-9408,6,100.0,단독,1,1,0.0,1.0,2025-05-15 16:13:08,2025-05-15 13:23:00,2025-05-15 13:49:11,,43,43110,C0,C001,Y,,N,,N,,N,2018,충청북도,0.22887016464801246,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-0.3433052469720187,1.959361419685759
메이저주유소,GS000167,충청북도 청주시 청원구 오창읍 두릉유리로 207,메이저주유소,,24시간 이용가능,36.7365272,127.3634109,GS,GS칼텍스,GS칼텍스,1544-5151,4,200.0,단독,2,2,0.0,1.0,2025-05-15 12:15:42,2025-05-15 11:45:43,2025-05-15 12:15:42,,43,43110,E0,E007,Y,,N,,N,,Y,2023,충청북도,2.7986640987503564,1,1,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.4,0.0,-4.197996148125535,-1.4953294814677571
