statNm,statId,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,chgerType,output,method,available_chargers,num_chargers,congestion_ratio,working_ratio,statUpdDt,lastTsdt,lastTedt,nowTsdt,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName,distance_km,is_free_parking,has_convenience,is_fast,avg_cost,inv_cost,is_free_parking_score,working_ratio_score,congestion_ratio_score,inv_cost_score,has_convenience_score,is_fast_score,distance_km_score,total_score
겁내골휴게소(산청),PC000584,경상남도 산청군 단성면 묵곡리 241-3,,지상 주차장,24시간 이용가능,35.278602,127.9673687,PC,파킹클라우드,파킹클라우드,1533-5783,4,50.0,단독,1,1,0.0,1.0,2025-05-14 13:40:07,2025-05-14 10:40:05,2025-05-14 11:55:12,,48,48860,C0,C002,Y,,N,,N,,N,2024,경상남도,1.4116483727366576,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.1174725591049866,0.1851941075527912
묵곡생태공원,KP005669,경상남도 산청군 단성면 묵곡리 942-1,,,24시간 이용가능,35.2800403,127.9655985,KP,한국전력,한국전력,1899-2100,4,100.0,단독,1,1,0.0,1.0,2025-05-12 14:34:06,2025-05-12 14:07:27,2025-05-12 14:33:15,,48,48860,A0,A003,N,,N,,N,,N,2024,경상남도,1.6317476788755885,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.4476215183133827,-0.644954851655605
묵곡생태공원 (급),EC480254,경상남도 산청군 단성면 묵곡리 938,,,24시간 이용가능,35.2800107,127.9653536,EC,이지차저,이지차저,1544-3332,4,100.0,동시,2,2,0.0,1.0,2025-05-14 16:28:29,2025-05-14 15:21:53,2025-05-14 16:26:15,,48,48860,D0,D001,N,,N,,N,,N,2024,경상남도,1.640955833204513,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.4614337498067695,-0.6587670831489918
묵곡생태공원,EC480130,경상남도 산청군 단성면 묵곡리 938,,,24시간 이용가능,35.2801602,127.9652482,EC,이지차저,이지차저,1544-3332,2,7.0,단독,1,1,0.0,1.0,2025-05-02 17:28:29,2025-05-02 13:17:08,2025-05-02 15:41:57,,48,48860,D0,D001,N,,N,,N,,N,2024,경상남도,1.6601092514194822,0,0,0,300,0.0033333333222222224,0.0,1.0,0.8,0.0026666666577777783,0.0,0.0,-2.4901638771292234,-0.6874972104714456
목화시배지,EC480127,경상남도 산청군 단성면 목화로 887,,,24시간 이용가능,35.2904421,127.9583098,EC,이지차저,이지차저,1544-3332,2,7.0,단독,2,2,0.0,1.0,2025-05-06 11:14:27,2025-05-06 10:54:10,2025-05-06 11:12:19,,48,48860,A0,A004,Y,,N,,N,,N,2024,경상남도,2.963523824871851,1,0,0,300,0.0033333333222222224,0.5,1.0,0.8,0.0026666666577777783,0.0,0.0,-4.445285737307777,-2.142619070649999
