statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
신창2차남양휴튼,KL002499,02,02,광주광역시 광산구 신창로71번길 17,null,"204동 3,4라인지하주차장",24시간 이용가능,35.19143,126.8355,KL,클린일렉스,클린일렉스,1811-1350,2,20250514041904,20250513215822,20250514041838,,,14,단독,29,29200,H0,H001,Y,,N,,N,,N,2022,광주광역시
신창2차남양휴튼,KL002499,03,02,광주광역시 광산구 신창로71번길 17,null,"204동 3,4라인지하주차장",24시간 이용가능,35.19143,126.8355,KL,클린일렉스,클린일렉스,1811-1350,1,20250430042053,20250216180022,20250216200435,,,7,단독,29,29200,H0,H001,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,01,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,2,20250513130304,20250513111508,20250513125739,,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,02,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,3,20250515142005,20250515142005,20250514091857,20250515140412,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,03,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,2,20250515134004,20250515122420,20250515133933,,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,04,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,2,20250515122804,20250515113415,20250515122721,,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,05,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,2,20250509171004,20250509153734,20250509170411,,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
지식산업센터KBI하남관리단,KL002500,06,02,광주광역시 광산구 하남산단6번로 57,null,"지하주차장 B11 ,지하주차장 D12,,지상주차장",24시간 이용가능,35.20253,126.80109,KL,클린일렉스,클린일렉스,1811-1350,2,20250512124603,20250512022944,20250512123958,,,14,단독,29,29200,G0,G004,Y,,N,,N,,N,2022,광주광역시
치유요양병원,KL002501,01,02,광주광역시 동구 증심사길 2,null,null,24시간 이용가능,35.13348,126.95314,KL,클린일렉스,클린일렉스,1811-1350,2,20250430035905,20250320165342,20250320165445,,,7,단독,29,29110,I0,I001,Y,,N,,N,,N,2022,광주광역시
양산유탑유블레스스카이뷰,KL002507,01,02,광주광역시 북구 하서로 384,null,지하2층주차장,24시간 이용가능,35.20923,126.87449,KL,클린일렉스,클린일렉스,1811-1350,2,20250429090506,20240401225320,20240402020852,,,14,단독,29,29170,H0,H001,Y,,N,,N,,N,2022,광주광역시
양산유탑유블레스스카이뷰,KL002507,02,02,광주광역시 북구 하서로 384,null,지하2층주차장,24시간 이용가능,35.20923,126.87449,KL,클린일렉스,클린일렉스,1811-1350,2,20250430012952,20241116183100,20241116183100,,,14,단독,29,29170,H0,H001,Y,,N,,N,,N,2022,광주광역시
양산유탑유블레스스카이뷰,KL002507,03,02,광주광역시 북구 하서로 384,null,지하2층주차장,24시간 이용가능,35.20923,126.87449,KL,클린일렉스,클린일렉스,1811-1350,2,20250430005838,20240331201548,20240331213606,,,14,단독,29,29170,H0,H001,Y,,N,,N,,N,2022,광주광역시
양산유탑유블레스스카이뷰,KL002507,04,02,광주광역시 북구 하서로 384,null,지하2층주차장,24시간 이용가능,35.20923,126.87449,KL,클린일렉스,클린일렉스,1811-1350,2,20250430012549,20240325204057,20240325224157,,,14,단독,29,29170,H0,H001,Y,,N,,N,,N,2022,광주광역시
