statNm,statId,chgerId,chgerType,addr,addrDetail,location,useTime,lat,lng,busiId,bnm,busiNm,busiCall,stat,statUpdDt,lastTsdt,lastTedt,nowTsdt,powerType,output,method,zcode,zscode,kind,kindDetail,parkingFree,note,limitYn,limitDetail,delYn,delDetail,trafficYn,year,regionName
시인과촌장,PW012334,01,02,울산광역시 울주군 상북면 석남로 767,null,null,24시간 이용가능,35.616863933833,129.0614740601,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250411142210,20250411195657,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
시인과촌장,PW012334,02,02,울산광역시 울주군 상북면 석남로 767,null,null,24시간 이용가능,35.616863933833,129.0614740601,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250330143002,20250330170801,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
강변커피,PW012342,01,02,울산광역시 울주군 상북면 석남로 870,null,null,24시간 이용가능,35.613354089075,129.0715290882,PW,파워큐브,파워큐브,1833-8017,2,20250512125212,20250510152944,20250510154530,,,7,,31,31710,E0,E005,Y,,N,,N,,N,2020,울산광역시
강변커피,PW012342,02,02,울산광역시 울주군 상북면 석남로 870,null,null,24시간 이용가능,35.613354089075,129.0715290882,PW,파워큐브,파워큐브,1833-8017,2,20250512124012,20250415105645,20250415123159,,,7,,31,31710,E0,E005,Y,,N,,N,,N,2020,울산광역시
마산가든,PW012344,01,02,울산광역시 울주군 상북면 석남로 520,null,null,24시간 이용가능,35.615500689076,129.0416079430,PW,파워큐브,파워큐브,1833-8017,2,20250504152312,20250504142859,20250504152253,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
마산가든,PW012344,02,02,울산광역시 울주군 상북면 석남로 520,null,null,24시간 이용가능,35.615500689076,129.0416079430,PW,파워큐브,파워큐브,1833-8017,2,20250429091321,20250314151211,20250314162729,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
한마당한우촌,PW012378,01,02,울산광역시 울주군 언양읍 웃방천5길 10,null,null,24시간 이용가능,35.568544980719,129.1102049886,PW,파워큐브,파워큐브,1833-8017,2,20250505113513,20250505101004,20250505113342,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
한마당한우촌,PW012378,02,02,울산광역시 울주군 언양읍 웃방천5길 10,null,null,24시간 이용가능,35.568544980719,129.1102049886,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250213212325,20250214073910,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
나들목칼국수,PW012388,01,02,울산광역시 울주군 상북면 석남로 704,null,null,24시간 이용가능,35.617396283249,129.0546518591,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250405174041,20250405174058,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
나들목칼국수,PW012388,02,02,울산광역시 울주군 상북면 석남로 704,null,null,24시간 이용가능,35.617396283249,129.0546518591,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250426091843,20250426172115,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
산돼지마을,PW012389,01,02,울산광역시 울주군 상북면 배내로 1116,null,null,24시간 이용가능,35.539673259835,129.0127377075,PW,파워큐브,파워큐브,1833-8017,2,20250429091322,20250409170741,20250409180758,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
산돼지마을,PW012389,02,02,울산광역시 울주군 상북면 배내로 1116,null,null,24시간 이용가능,35.539673259835,129.0127377075,PW,파워큐브,파워큐브,1833-8017,2,20250508161812,20240923105209,20240923105225,,,7,,31,31710,E0,E006,Y,,N,,N,,N,2020,울산광역시
