별점,리뷰,날짜
5/5,"한산도 바다와 통영뷰가
아주 좋아요",3달
5/5,"통영음악당에 가서보니 스탠포드호텔&리조트가 있어서 잠시 들려봤다
1일 숙박이 15만원으로 es 콘도와 별반 가격차이는 없는것 같고 1층의 식당도 그리 비싼거 같지 않고 아침 부페도 3만원 이면 그리나쁘지 않은것 같다..

담에 좋은 음악회가 있으면 묵으면서 음악회도 듣고 귀한 여행할때 가보면 좋겠다",1년
5/5,"베란다가 있어 뷰 좋고, 시설 아주 준수합니다. 층간소음 얘기하는데, 복불복인지 저는 그런 거 전혀 느끼진 못했구요... 소음은 화장실 환풍기 소리 같은데, 여행갈 땐 귀마개 필수~ 루프탑 수영장 멋지구요... 만원이래서 안 갔습니다....",1년
1/5,"903 호인데  냉장고 음료수 4 개넣으면끝
냉동 안됨
화장실 물고임   물빠짐 각도? 경사? 반대로 되있음
엘베 공간작은거 2개라  오래기다리는편임
바다뷰는  굳!",9달
3/5,"객실 선반 먼지가 많이 쌓여 있었습니다.
화장실 욕조 샤워기에 물때가 많이 끼어있었어요. . 위생 관리 필요해 보입니다. 위치와 뷰는 좋습니다.",1년
3/5,"결혼식으로다녀옴.
뷔페최악.
지금껏다녀본결혼식중 최악!
여기서결혼하실분들 꼭 식사해보시길!
물론 중요한건 뷔페보단결혼식이고 뷔페 거기서거기지만 여긴 그릇도모자르고 음식가짓수도 턱없이 부족함.
호텔이아닌출장뷔페수준.
뭐암튼..식장뷰는좋았음.",1년
3/5,객실은 전체적으로 깔끔하나 변기와 샤워커튼에서 냄새가 남. 오후 4시쯤 체크인했는데 높은층에 중앙 방에 배정해주어서 뷰는 좋았음.,1년
5/5,"룸컨디션, 뷰 평이 좋아 선택했는데 정말정말 만족함. 다만 방문했을때는 사우나도 안되고, 1층 레스토랑도 안하고,, 아쉬웠지만
덕분에 옆건물 국제음악당에 괜찮은 카페를 찾기도하고 카페 브런치도 맛있게 먹음
★1층에 다양하게 와인을 팔아서 좋았음. 가격도 괜찮고, 하이네켄 생맥 포장판매 도 정말 좋았음.
단! 와인 아이스바스켓 없으니
편의점에서 얼음구매하라고 안내받음★

아쉬우나 재방문의사도 있고 추천하는 숙소
(19층에 인피니티풀 수영장있음)",2년
5/5,"호텔이 자리하고 있는 위치가 바닷가여서 뷰가 좋습니다. 객실에서 일출을 볼 수 있고 19층에 온수풀 수영장이 있습니다. 투숙객은 수영장을 무료로 사용 가능 합니다. 객실 크기는 적당한편이며 2017년 7월에 오픈을 해서인지 비교적 깨끗한편입니다. 아침에 호텔주변 해안산책로는 가히 일품입니다. 조식 또한 맛있습니다.

The location of the hotel is on the beach, so the view is good. You can see the sunrise from your room and there is a heated pool on the 19th floor. Guests have free access to the swimming pool. The size of the room is moderate, and it is comparatively clean because it opened in July, 2017. In the morning, the promenade around the hotel is a gem. Breakfast is also delicious.",6년
4/5,"2박 했습니다. 규모, 위치, 시설 등이 4성급에 맞는거 같아요. 객실 뷰가 좋고 19층 인피니티풀도 작지만 괜찮아요. 조식은 안먹어봤고, 직원분들 친절했어요.
다만 체크인시 욕실 욕조 샤워기 맞은편 수건걸이에 전투숙객이 쓴 타올들이 청소가 안된채 남겨져 있었네요. 프런트 전화해서 치워달라고 함.
다음날도 10시반쯤 나가서 3시반에 들어왔는데 객실 청소가 안되어 있었어요. 쉬고있는데 4시쯤 하우스키퍼께서 오시더니 청소할게 많아서 늦었다고 청소하시겠다고 하셔서 좀 쉬다가 5시에 나가니 5시반쯤 해달라 했는데, 퇴근시간이라 안된다고..ㅎ
그냥 수건, 생수만 받았습니다.
2일 연속 청소 관련 서비스가 안좋았습니다. 호텔다니며 처음 겪어본..",2년
