별점,리뷰,날짜
4/5,위치 찾는게 조금 힘들었다. 주차공간이 좁다. 아침을 꼭대기에서 셀프로 먹을 수 있다. 계란 빵 우유 등이 비치 되어있다. 숙소는 적당한 크기 적당한 가격인듯,5년
3/5,급하게 찾은 숙소 그냥 깔끔하니 무난한편입니다. 주차가 다소 불편합니다. 건물 주차가 꽉 차면 외부에 그냥 주차하라고 하는데 살짝 불안했어요. 가성비로 따진다면 조금 아쉬운 정도 입니다.,2년
4/5,"깨끗함. 주차가 다소 불편하지만 주인이 발렛해줌.
새벽 일찍 6시 이전에 나가는 사람은 미리 이야기해야 차 뺄 수 있음",1년
5/5,패밀리펜트하우스에  친구4명아랑 숙박했어요.방1개  거실 1개 테라스1개 거실과방은 넓고 쾌적하고 미니주방에 주방기구까지 옥실은 여러명의 사랑들이 쓸수있도록 화장실과 분리되어있고 해바라기샤워기 2개에.특하테라스에는 항구뷰를 바라보며 음식을 먹을수있는 6인식탁이 있어 넘 좋았네요.수건.치약치솔.모든개 넉넉하고 깨끗하며 같은층 바로옆에 간단한 조식을 할수있는 식당이 있어  굿이에요.덤으로 가격은 가성비 끝판왕~정말 짱이네요.주차공간이 좀 협소하나 기게식타워가 있고 사장님께서  친절히 발렛파킹까지해주셔서 문제될거는 전혀없음.가성비 좋은숙박덕에 통영1박2일여행이 더없이 즐거윘네요^^,2년
4/5,"위치 좋고 깨끗하다
체크인 하고, 동피랑 서피랑 중앙시장 세병관
둘러보기 딱 좋은 장소

탑층에서 셀프조식으로 식빵, 딸기쨈, 커피, 씨리얼, 우유가 제공된다
별 맛은 없지만 무료로 강구항을 바라 보며 먹을 수 있어서 좋았다

유명한 리조트, 콘도를 가기 부담된다면
그 다음으로 좋은 곳이 이곳이 아닐까 싶다
다음에 또 방문할 것임

근데 어메니티로 제공되는 칫솔은 칫솔모가 빠지는 저렴한 제품이라 좀 아쉬웠고
현관쪽 조명 전기 배관문제인지 간헐적으로 딸깍거리는 소리가 나서 자다가 좀 거슬리긴 했지만
재방문 의사 있음",6년
5/5,"아침에 옥상에서 조식먹을때 참 좋았어요~
상쾌한 분위기에 간단한 식사
저렴한 객실료
친절한 서비스
위치도 좋았구요~
또 찾을거같아요.",2년
1/5,"주인이 너무 속물이며 난방이고장 났음에도 방을 대여하는 아주 악덕업주이다.주인은 이미 알고 있엇는데도 절대 이용하지말아야될 호텔이다.세금도 탈세하는것 같드라.
제가 고향이 통영이라  새로생긴 호텔이라 작년에도 이용하고 좋은 기억이 있어서 올해도 이용햇는데 너무 실망햇어요.이곳말고도 주변에 가성비좋고 깨끗한 호텔 많으니 그런곳을 이용하세요.이곳 주인은 완전히 돈의 노예랍니다.주로 현금을 요구해요.조식은 숙박료에 이미 다 포함되어 있는겁니다....다른 업소를 이용하세요.위생 정말 드럽습니다.",5년
3/5,"통영여행에서 묵었던 숙소입니다 기존 건물을 리모델링 하신듯 하고 사장님이 매우 친절하셨습니다 다른 지역의 브라운도트를 생각하시면 약간의 충격을 받으실수 있습니다 일단 방이 매우 협소합니다 위생적인 부분은 양호하고요
여행지에서 숙박을 위해서는 갈만한 곳이었습니다",2년
4/5,"509호 5만원 사실상 깨끗 조식제공
이보다 훌륭할수가 없다.
가심비 가성비 다 좋음",1년
4/5,"서울에서 통영까지 차를몰고가서 숙박 하였습니다.
안내 하시는분들이 참으로 친절도 합니다.
다만 방 값은 주중 5만원선 주말은 10만원으로 배가 됩니다.
휴일에는 예약이 필수 입니다.
바로 앞에 항구가 있어서 해산물과 야경을 볼 수 있습니다.",6년
4/5,"조식이 매력적이네요.
사장님도 친절하시고,
주차는 발렛이라 특히, 여성분들에게 좋을 듯",2년
3/5,"호텔이라고 예약했는데 아주 비좁은 러브모텔 수준. 냄새도 나고 모기들도 있었음.
3명 예약했는데 추가비용만 받았지 전부 2인용으로만 비치해 놓음. 모든게 부족하고 불친절. 비추합니자",4년
3/5,관리가 잘 안되는듯 합니다 평범한 모텔 입니다 복도에 청소도구며 대학 축구선수들 단체숙박으로 축구화가 복도에 널부러져 있습니다 수압이 약하고 침구는 좋으나 침대 프레임이 소리가 납니다 재방문 의사 없습니다,3년
5/5,"리모델링한 모텔 입니다.. 무심해보이지면 친절한 주인분들과  루프탑  그리고 위치가 좋습니다..
다찌집. 시장. 식당. 술집..",1년
4/5,일반적인 모텔과 비슷하네요. 나쁘지도 그렇다고 너무 좋지도 않아요. 루프탑이 있는데 그냥 간단히 즐기기에는 좋은 정도에요.,3년
1/5,"조식, 그거 계란과 빵쪼가리 하나 먹을라고 최악의 불친절을 맛보네. 조식 마감 15분 전 왔다고 드럽게 눈치주고 불친절.  아예 조식을 없애든가.",2년
4/5,"인터넷 예약보다 현장결제가 저렴함...(당황스럽..)
그냥 심플 모던한 모텔이라 생각하면됨
방음 엄청 안됨 이건 거의 다녀본곳중 최악",2년
3/5,무난무난했습니다 위치가 좋습니다.,5달
5/5,"따뜻한 침구와 친절함이 인상에 남는다.
루프탑에서의 야경과 맥주 한잔은 항구의 밤정취를 더해준다",3년
4/5,"사장님도 친절하시고 발렛도 해주심
다만, 객실 화장실에 배수가 안됐음ㅠ
다른건 다 만족",2년
3/5,"바가지요금에현금으로유도하며!객실은비싼가격대비!방이작아요😡😡😡주차장은주차하기비좁고불편합니다.복도소음,장난아님요~~~~",5년
5/5,통영 게스트 하우스 갔다가... 베개에서 냄새가 나서 옮긴 숙소. 7층루프탑엔 조식도 있고 깔끔함.,5년
5/5,"친절하시고, 주차도 잘해주시고, 이불이 폭식폭신 너무 좋았어요. 통영가면 여기서만 잘듯해요",4년
5/5,저 통영사람인데 여자친구 놀러올때 이용해봤었는데 방이 되게 깔끔하고 좋았어요,4년
5/5,"사람들 없을때 가서 그런지 화장품에 먼지 쌓였음
하지만 친절하고 좋습니다",2년
5/5,"이벤트로 다녀왔어요
완전 객질깔끔하고 루프탑 이용가능해요 다시또 갈예정입니다",3년
4/5,"통영의 도심속 호텔.
도보 10분거리 중앙시장 벽화마을과 맛집들이 많이 있습니다.",4년
5/5,깔끔 그 자체였어요! 직원분들이 친절하셔서 리뷰 남깁니다 또 방문할게요 ~~,3년
5/5,깔끔하고 쾌적한 숙소였어요 위치도 더할 나위없이 좋았습니다,3년
4/5,"가격 대비 좋았습니다. 루프탑 시설도 좋았습니다.
통영에 간다면 재 방문 의사 있습니다.",3년
5/5,7층에 테라스도 있고 넘 좋아요 또 가고싶네요,2년
5/5,중앙시장 부근이라 너무 좋고 숙소도 좋아요,3년
5/5,객실이 쾌적하고 중문도 있어 복도소음이 들리지 않음,2년
5/5,"통영 말해 뭐해 최고입니다
근데 사진을 못 찍었어요.",2년
2/5,"내부가 보통입니다
루프탑 이용은 좋습니다",2년
3/5,"특별히 나쁜건 없는데 수압이 너무 약해요.
민감하신분 비추",3년
4/5,침구류가 청결하며 손님이 많아요,2년
5/5,"깨끗하고 친절하고 중앙시장에서 5분거리~^^
쵝오쥬?",4년
