별점,리뷰,날짜
5/5,"가족여행으로 5인실 .너무좋와서..
7층 1개층이 전부 사용할수있게여서..
마치팬션온것처럼..너무편하게있다감..",4년
4/5,"사장님넘나친절하시고
맛집추천주변갈곳 사장님께서
친절하게 잘갈켜줘요
방도깨끗합니다",5년
1/5,"문에서 소리남
별로 깨끗하지 않음
오션뷰라고 하지않아야되는거아닌가?",3년
4/5,701호 펜트하우스라서 꼭대기라서 개인미니풀장있고 윗층에 루프탑있어요 좋아요,4년
4/5,"완벽한 금연방이었으며,
시설 깔끔한 모텔이었다
편안한 이부자리로 잘 자고 나왔음",4년
4/5,"호텔이아니라 모텔느낌...
하지만 친절히 맞이해주고 어린애하나는 추가 없이 받아줘서 넘 고맙네요...^^",4년
5/5,"청소상태, 시설, 사장님과 직원의 친절, 서비스, 가격 모두 만족합니다",3년
4/5,조식 제공. 시설 나름 깔끔. 방 잘 잡으면 항구 바다 보여요.,3년
5/5,시설 좋고 친절하고 애들이랑 가기 좋은 곳  이에요,4년
3/5,"깔끔하고 가격도 착하고
주차도 대행해주고 맘에 들었어요",4년
4/5,저렴한 숙박비용에 객실도 괜찮았습니다,2년
4/5,깨끗하고 아침 조식도 부담 안되는선에서 좋았습니다,3년
5/5,루프탑에서 커피한잔이 아주 인상적임.  조식도 굿!,4년
4/5,"7층 풀장있음
루프탑은 울타리가 위험하게ㅜ되어있어 어린이들은 올라가지 못하게해야함.",4년
2/5,"침대가 너무 딱딱해요
요금이 너무 비싸요
가급적 리조트나 펜션을 이용히세요",3년
4/5,"다 좋았습니다
다만 식기류가 몇개없어 불편했지만
만족했습니다^3",4년
4/5,주차공간이 협소함. 깔끔한 숙소. 좀 추웠음,4년
1/5,심각한 수준의 숙박업체는 아니나 조금더 보태어서 좋은곳으로 가시길 권합니다!,4년
4/5,깨끗한 호텔... 옥상에서의 휴식... 정말 휴식하는 시간이었네요. 감사^^*,4년
4/5,"입구앞에 도착하니 발렛파킹해주시네요 ~
아마 주말이라서 해주신거 같아요 ~",4년
5/5,루프탑에서 야경보며 차나 술 한잔하니 너무 좋았습니다,4년
5/5,"매우친절
숙소 깨끗
적극 추천합니다",3년
4/5,"리모델링해서 깨끗함, 수압이 조금 약한건 아쉬움",5년
4/5,"깔끔, 무료넷플릭스, 루프탑, 간식같은조식",3년
4/5,깔끔하고 조용합니다! 넷플릭스는 덤이고요!,4년
5/5,진짜깨끗하고.편안해서좋아요,3년
4/5,"친절하고
깨끗하고
가성비 짱이다",4년
5/5,좋음 스타일러 있고 옥상 이용가능함둥,4년
3/5,깨끗한편 주차는 좀 불편,3년
5/5,친절하고.. 정말깨끗해요,4년
4/5,친절하신 사장님......그외는.....깨끗함 ......,3년
5/5,깔끔하게 정리해서 좋아요,4년
5/5,좋아요 깨끗해요,2년
4/5,크고 청결이좀떨어짐,4년
4/5,친절하고 깔끔합니다,4년
2/5,사진만 기가 맥히게 찍은곳.,3년
5/5,깔끔하고 너무 좋아요,5년
5/5,친절하시고 주위에 맛집,4년
4/5,또방문해보고픈숙소,4년
4/5,친절해요,5년
5/5,굿,4년
5/5,너무 좋아요,4년
1/5,별루,4년
3/5,쏘쏘,4년
3/5,시설좋음,4년
4/5,숙박비가쌉니다.,4년
1/5,대단히 불친절,4년
3/5,그냥 모텔;;,3년
5/5,괜춘~,5년
