별점,리뷰,날짜
5,여름에 가서 생굴요리는 안나왔다. 굴 철이 아님에도 아주 맛깔나게 요리해 주셔서 막걸리 한병 더! 남해에 놀러오면 굴요리는 꼭 먹고가는것을 추천드립니다,6년 전
1,"굴철 시작이라 제일 비싼 향토코스 시켰으나
가격 대비 만족도 실망
23,000원 이나 15,000원 이면 만족 할까?

생굴회 나올 줄 기대했으나 삶은 숙회 나오고
왜 이게 나오냐고 따졌더니 지금은 아직 먹을 때가 아니라고.... 주인하는말
그러더니 그 다음 나온 굴무침엔 생굴
굴전은 대형 계란부침에 굴 딸랑하나
굴구이는
깐 굴을 가스그릴에 구워서 퍽퍽

마지막 굴찜...
흔히들 생각하는 굴찜 아님
아구찜에 아구뺀 무침에 굴 3개

아!
굴밥

미리해는 밥에 굴 딸랑하나
그것도 무쇠그릇이라고
덥히지도 않고 그냥 그릇입니다",6년 전
4,"통영의 신선한 굴을 활용한 메뉴가 다양해 굴을 온전히 느끼실 수 있습니다.
굴밥, 굴전, 굴회무침, 기타 등등 대부분의 요리는 굴이 들어가 있습니다.
굴을 싫어하실 경우 고려하시길 바랍니다.",4년 전
4,"굴요리를 먹으러 갔었는데 그냥 일반 음식점입니다.
옛날엔 좌식 식당이었는데 요즘에 테이블 식으로 바꾸었다고 하네요.",5년 전
4,굴 코스요리로  요리집 느낌입니다,6달 전
3,"그나마 통영에서는 제일선두주자기에
근래의 굴요리집보다는 조금나아요
""통영굴사랑""집이 그립네요 주인사모님의 허리통증으로 문을닫은집!
다양했던 요리와 친절하시고 정겨우시던 배려와 맛난음식들‥
그래도 그나마 전통있는 황토집은 추천하고 잡아요 ~",7년 전
5,"맛난 식사에 사장님의 굴 이야기.
조은 시간이였답니다.
다음에 또 가겠습니다...^^",3년 전
5,"운동후 간단하게 자녁식사해결하러 갔는데 B코스 14000원.
굴밥,굴전,국회까지 맛있게 먹고 왔어요.",4년 전
4,"무난한 맛과 분위기의 굴전문 식당입니다. 놀라운 맛을 기대하긴 어렵지만, 굴전과 굴숙회는 언제나 맛있죠...ㅎㅎ",2년 전
1,"구글에서 4년전 다녀간 장소 보라길래 들어왔다가 안좋은 기억이 떠올라 적습니다.
여행갔다가 첫날 굴요리 먹고 식중독 걸려서 숙소에서 이틀내 누워만 잇었네요",2년 전
4,"이집은 오래되었습니다.
다른집에 비해 메뉴가 많아서 굴을 시러하는분이랑 가기가 좋습니다
굴요리는 전이 맛나고 굴보쌈이 맛난집입니다 ^^",6년 전
3,"굴요리 전문점.. 주말에는 굴정식만 먹을수 있다. 손님은 많은데 맛은 평범하다. 정식 B코스 인당 12,000원..",6년 전
3,"굴로만 하는 요리를 너무 많이 먹으니 느끼하고, 굴전도 다른 재료를 섞어서 굴 본연의 맛이 나지 않음",1년 전
1,"음식은 맛은 적당하지만 사장님은 혼자 정신없고 일하시는 아주머니는 손님 무시는 기본...
부모님 모시고 갔는데 좀 최악이네요",3년 전
5,먹다가 찍었ㅠ 코스요리 맛나요,3년 전
5,너무 박하시네요들..이만한 굴요리집을 못본것같아요. 반찬가지수로 승부하는 한식집스타일은 아니고 굴요리집인것 같아요. 매일 먹고 싶은 맛은아니고 가끔 생각나는 맛.,13년 전
1,진짜 진짜 별로였어요 굴밥은 형식적인 솟밥이었습니다 가격대비 가성비가 정말 꽝!!! 두번다시 가고싶지 않아요,5년 전
3,굴음식을 코스로 해서 먹을수 있는집으로 지역 특산물을 이용한 식당 상호처럼 향토 음식점으로  맛으로 손색이없는 듯하다.,5년 전
4,"역시 굴의 고장 이네요.굴요리가 정갈하고
먹기좋게 나오는 식당입니다.
드셔보실만 합니다.",6년 전
5,"굴요리 전문점
가격대가 있으나 음식이 깔끔하고 맛있음
생굴보다 익힌굴 위주로 나와서 비린맛이 없음
굴초보자 가능",5년 전
5,다양한 굴 요리를 맛볼 수 있는 곳 양이 좀 적다고 느낄 수 있지만 보토양이라면 적당한 곳 굴구이 강추!,7년 전
5,음식이 정갈하고맛있게먹고왔읍니다,6년 전
2,"코스별 굴요리를 다양하게 맛볼수 있음
하지만 손님이 오면 자리를 마음대로 못앉게 강요합니다
그점이 불쾌합니다",7년 전
4,굴요리를 저렴한 가격에 셋트메뉴로 드실 수 있음. 양이 조금 적은편이나 대체로 맛이좋음.,4년 전
3,음식은 맛이있다. 특별히 맛있는것이 아니고 굴 자체가 맛이있다.  다만 리뷰어들의 말대로 서비스정신이 좀 부족하다.,6년 전
4,"보리밥 맛있어요
된장찌게도 맛있구요
이모님도 굉장히 친절하셔요
월요일은 쉬더라구요 ㅎ",6년 전
2,"지금은 시즌이 아니지만 맛은 있습니다.
냉동치고는 넘 ~~비싸요.
시즌에 먹는다면 그리 비싸지 않을수 있지만요.",4년 전
5,굴전이  정말 맛나고 다양한 굴요리를 먹어 볼수 있어서 좋네요,5년 전
4,굴  전문 식당입니다.  여러기지 굴요리가 있고  깨끗해서  타인에게  권할만 합니다.,5년 전
5,아 굴코스 아주 좋네요. 다음엔 입맛에 맞았던 것만 골라서 B코스 먹을거에요,4년 전
3,"다양한 메뉴와 굴전은  맛있지만,  굴이  가끔 냄새가 난다.",4년 전
3,"아직 굴철이 아니라 향긋한 향은 안나네요
두번 갈래 물어보면 글써...정도고 한번쯩 괜찮으세요",3년 전
