id,detail_url,title,location,phrase,tags,created_at
379,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=8b70b968-41fc-49b5-b867-343961402ef6&big_category=A02&mid_category=A0201&big_area=36,가오치선착장,"경남 통영시","사량도로 갈 수 있는 여객선을 운행 중인 선착장","#가오치선착장, #가오치항, #관광지, #사량도배편, #통영가볼만한곳, #통영관광명소, , ","2025-03-17 12:56:42"
380,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=d76a698b-d899-41d4-b95a-52bf402c641e&big_category=A02&mid_category=A0201&big_area=35,용연폭포,"경북 청송군","신비로운 모습을 볼 수 있는 용연폭포","#경북, #관광지, #신비로운, #용연폭포, #청송군, #청송유네스코세계지질공원","2025-03-17 12:56:42"
381,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=2adbdbca-757b-4739-897e-1f260c6fb7cc&big_category=A02&mid_category=A0201&big_area=36,수우도,"경남 통영시","기암괴석과 해변 경관이 뛰어난 섬","#가볼래터, #경상권, #경치좋은곳, #관광지, #등산, #바다내음, #섬, #수우도, , , , , , , ","2025-03-17 12:56:50"
382,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b3b2f921-09f4-44ec-8b94-5e8bfa1f7c10&big_category=A02&mid_category=A0201&big_area=35,토함산자연휴양림,"경북 경주시","불국사와 석굴암을 품고 있는 토함산의 휴양시설","#관광지, #자연","2025-03-17 12:56:50"
383,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=09a469c2-9861-4748-a913-119ac61f5b6a&big_category=A02&mid_category=A0201&big_area=1,"우당 이회영 선생 흉상","서울 중구","대한의 독립을 위해 앞장섰던 애국지사 기념 흉상","#관광지, #수도권, #아이와함께, #역사, #역사공부, #역사를품은곳, #역사속, , , , , , ","2025-03-17 12:56:50"
384,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=ac763886-d1f0-4db6-b5c6-5831cb959742&big_category=A02&mid_category=A0201&big_area=35,불정자연휴양림,"경북 문경시","레포츠와 휴식을 동시에 즐길 수 있는 불정자연휴양림","#관광지, #불정자연휴양림, #자연, #자연휴양림, #힐링여행","2025-03-17 12:56:50"
385,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=c1299e61-b4a8-4387-92c7-c788b6e3f7c8&big_category=A02&mid_category=A0201&big_area=3,"대전 한화생명 볼파크","대전 중구","프로야구팀 한화 이글스의 홈구장","#대전야구, #대전야구장, #레포츠, #야구장데이트, #프로야구, #한화구장, #한화이글스파크","2025-03-17 12:56:50"
386,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=e962d58e-0e57-44ed-ba93-1d363f781aa9&big_category=A02&mid_category=A0201&big_area=34,"칠갑산 오토캠핑장","충남 청양군","아이들과 방문하기 좋은 캠핑장","#레포츠, #청양, #청양1박2일, #청양숙박, #청양칠갑산, #청양칠갑산오토캠핑장, , ","2025-03-17 12:56:50"
387,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=7fb54483-f43a-41bf-a618-fb9d5621f74f&big_category=A02&mid_category=A0201&big_area=31,열쇠전망대,"경기 연천군","멀리 북한땅이 한눈에 들어오는 전망대","#DMZ여행, #DMZ평화여행, #경치좋은곳, #관광지, #역사를품은곳, #역사속으로, , , , , , , , , ","2025-03-17 12:56:50"
388,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=be751bdb-6153-471f-a2bc-8fc2ff7108b6&big_category=A02&mid_category=A0201&big_area=35,워낭소리공원,"경북 봉화군","사람과 사랑을 울리는 워낭소리","#가족과함께, #공원, #관광지, #봉화, #영화, #워낭소리, #힐링","2025-03-17 12:56:50"
389,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=91042600-5530-42e0-9575-ffab809c2584&big_category=A02&mid_category=A0201&big_area=39,하례감귤체험농장,"제주 서귀포시","맛있는 감귤 따기 체험이 가능한 예쁘고 아기자기한 귤밭","#관광지, #귤따기체험, #제주가볼만한곳, #제주감귤농장, #제주관광명소, #제주농장체험, , ","2025-03-17 12:56:50"
390,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1094f91b-7d11-4e0e-a16a-26866a65b788&big_category=A02&mid_category=A0201&big_area=5,"광주호 호수생태원","광주 북구","도심 속 자연 학습의 장","#2022친환경추천여행지, #2024_여행가는달과함께하는_발도장여행지, #가족여행, , , , , , , , , , , , , , , , , , , ","2025-03-17 12:56:58"
391,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=054e2bb9-8ad1-4c25-8387-1f2166f58b99&big_category=A02&mid_category=A0201&big_area=33,"단양 패러글라이딩 패러에 반하다","충북 단양군","베테랑 파일럿과 함께하는 패러글라이딩","#단양, #단양여행, #단양패러글라이딩, #레포츠, #이색데이트, #익스트림스포츠, ","2025-03-17 12:56:58"
392,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=6540cf13-b1b6-4ca9-bbd6-81e4fdb1ce4c&big_category=A02&mid_category=A0201&big_area=34,"미소레 커피","충남 천안시","우수성을 인정받은 향긋한 커피","#맛집, #쉬기좋은커피숍, #아늑한카페, #음식, #천안, #커피, #커피맛집","2025-03-17 12:56:58"
393,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=1473d2cf-9af6-422b-b266-a3b7ac6b116f&big_category=A02&mid_category=A0201&big_area=2,교동제비집,"인천 강화군","평화 통일의 섬 교동도","#VR체험, #강화가볼만한곳, #관광지, #남녀노소, #아이와함께, #연인과함께, , , , , , , ","2025-03-17 12:56:58"
394,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=79416a42-36a9-45a7-bfdc-6489af0cd4ed&big_category=A02&mid_category=A0201&big_area=33,선광집,"충북 옥천군","기가막힌 맛을 선보이는 곳","#도리뱅뱅, #맛집, #생선국수, #생선국수, #생선튀김, #옥천군, #음식","2025-03-17 12:56:58"
395,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=5a9ff9b5-4959-4a53-b554-827f4a27d07d&big_category=A02&mid_category=A0201&big_area=33,할머니네맛식당,"충북 괴산군","구수한 된장과 올갱이의 만남","#괴산군맛집, #맛집, #맛집추천, #올갱이, #올갱이국, #음식, #한식맛집","2025-03-17 12:56:58"
396,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=13d1fc96-5fb0-41ac-b044-4d398971d01a&big_category=A02&mid_category=A0201&big_area=1,"동대문 문구완구거리","서울 종로구","국내 최대 문구·완구를 취급하는 전문 시장","#관광지, #남녀노소, #동대문구, #문구거리, #문구완구, #소매상, #소매점, #수도권, , , , ","2025-03-17 12:56:58"
397,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=cd941b46-51de-4a42-b404-1515c83c810b&big_category=A02&mid_category=A0201&big_area=33,"남한강 래프팅(단양)","충북 단양군","빼어난 자연환경 속에서 즐기는 수상 레포츠 !","#ATV, #꿀잼_액티비티, #남한강, #남한강래프팅, #남한강레포츠, #레포츠, #서바이벌, , , , , ","2025-03-17 12:56:58"
398,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=81ddad91-0b24-4a51-874e-f284cb7e7694&big_category=A02&mid_category=A0201&big_area=35,순흥전통묵집,"경북 영주시","40년 전통의 영주향토음식점, 순흥전통묵집","#맛집, #모두부, #음식, #전통묵밥","2025-03-17 12:56:58"
399,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=b1eb43b5-f0e7-4f57-9056-fbaa76731f50&big_category=A02&mid_category=A0201&big_area=2,"석모도 수목원","인천 강화군","천혜의 자연환경과 교감하는 수목원","#2024_여행가는달과함께하는_발도장여행지, #가족여행, #걷기길, #관광지, , , , , , , , , , ","2025-03-17 12:56:58"
400,https://korean.visitkorea.or.kr/detail/ms_detail.do?cotid=3f85f605-84df-4f18-b510-26537732b6bf&big_category=A02&mid_category=A0201&big_area=33,장다리식당,"충북 단양군","정갈한 반찬이 감동적인 한정식 가게","#단양맛집, #단양한정식, #단양한정식맛집, #마늘떡갈비, #마늘비빔육회, #마늘정식, , , , , , ","2025-03-17 12:57:05"
